DATE,SITE,SP_CODE,COUNT,SCIENTIFIC_NAME
1/30/08,AQUE,MAPY,0,Macrocystis pyrifera
1/30/08,AQUE,MAPY,3,Macrocystis pyrifera
1/30/08,AQUE,MAPY,29,Macrocystis pyrifera
1/30/08,AQUE,MAPY,7,Macrocystis pyrifera
1/30/08,AQUE,MAPY,16,Macrocystis pyrifera
1/30/08,AQUE,MAPY,9,Macrocystis pyrifera
1/30/08,AQUE,MAPY,2,Macrocystis pyrifera
1/30/08,AQUE,MAPY,5,Macrocystis pyrifera
1/30/08,AQUE,MAPY,7,Macrocystis pyrifera
1/30/08,AQUE,MAPY,2,Macrocystis pyrifera
1/30/08,AQUE,MAPY,4,Macrocystis pyrifera
1/30/08,AQUE,MAPY,29,Macrocystis pyrifera
1/30/08,AQUE,MAPY,41,Macrocystis pyrifera
1/30/08,AQUE,MAPY,0,Macrocystis pyrifera
1/30/08,AQUE,MAPY,7,Macrocystis pyrifera
1/30/08,AQUE,MAPY,5,Macrocystis pyrifera
1/30/08,AQUE,MAPY,3,Macrocystis pyrifera
1/30/08,AQUE,MAPY,145,Macrocystis pyrifera
1/30/08,AQUE,MAPY,4,Macrocystis pyrifera
1/30/08,AQUE,MAPY,2,Macrocystis pyrifera
1/30/08,AQUE,MAPY,2,Macrocystis pyrifera
1/30/08,AQUE,MAPY,7,Macrocystis pyrifera
1/30/08,AQUE,MAPY,2,Macrocystis pyrifera
1/30/08,AQUE,MAPY,4,Macrocystis pyrifera
1/30/08,AQUE,MAPY,16,Macrocystis pyrifera
1/30/08,AQUE,MAPY,12,Macrocystis pyrifera
1/30/08,AQUE,MAPY,15,Macrocystis pyrifera
1/30/08,AQUE,MAPY,14,Macrocystis pyrifera
1/30/08,AQUE,MAPY,1,Macrocystis pyrifera
1/17/08,MOHK,MAPY,2,Macrocystis pyrifera
1/17/08,MOHK,MAPY,20,Macrocystis pyrifera
1/17/08,MOHK,MAPY,25,Macrocystis pyrifera
1/17/08,MOHK,MAPY,34,Macrocystis pyrifera
1/17/08,MOHK,MAPY,35,Macrocystis pyrifera
1/17/08,MOHK,MAPY,36,Macrocystis pyrifera
1/17/08,MOHK,MAPY,4,Macrocystis pyrifera
1/17/08,MOHK,MAPY,15,Macrocystis pyrifera
1/17/08,MOHK,MAPY,3,Macrocystis pyrifera
1/17/08,MOHK,MAPY,5,Macrocystis pyrifera
1/17/08,MOHK,MAPY,1,Macrocystis pyrifera
1/17/08,MOHK,MAPY,1,Macrocystis pyrifera
1/17/08,MOHK,MAPY,9,Macrocystis pyrifera
1/17/08,MOHK,MAPY,37,Macrocystis pyrifera
1/17/08,MOHK,MAPY,5,Macrocystis pyrifera
1/17/08,MOHK,MAPY,11,Macrocystis pyrifera
1/17/08,MOHK,MAPY,19,Macrocystis pyrifera
1/17/08,MOHK,MAPY,19,Macrocystis pyrifera
1/17/08,MOHK,MAPY,29,Macrocystis pyrifera
1/17/08,MOHK,MAPY,1,Macrocystis pyrifera
1/17/08,MOHK,MAPY,25,Macrocystis pyrifera
1/17/08,MOHK,MAPY,15,Macrocystis pyrifera
1/17/08,MOHK,MAPY,21,Macrocystis pyrifera
1/17/08,MOHK,MAPY,25,Macrocystis pyrifera
1/17/08,MOHK,MAPY,33,Macrocystis pyrifera
1/17/08,MOHK,MAPY,2,Macrocystis pyrifera
1/17/08,MOHK,MAPY,5,Macrocystis pyrifera
1/17/08,MOHK,MAPY,70,Macrocystis pyrifera
1/17/08,MOHK,MAPY,5,Macrocystis pyrifera
1/17/08,MOHK,MAPY,8,Macrocystis pyrifera
1/17/08,MOHK,MAPY,34,Macrocystis pyrifera
1/17/08,MOHK,MAPY,21,Macrocystis pyrifera
1/17/08,MOHK,MAPY,29,Macrocystis pyrifera
1/17/08,MOHK,MAPY,17,Macrocystis pyrifera
1/17/08,MOHK,MAPY,40,Macrocystis pyrifera
1/17/08,MOHK,MAPY,1,Macrocystis pyrifera
1/17/08,MOHK,MAPY,40,Macrocystis pyrifera
1/17/08,MOHK,MAPY,18,Macrocystis pyrifera
1/17/08,MOHK,MAPY,22,Macrocystis pyrifera
1/17/08,MOHK,MAPY,12,Macrocystis pyrifera
1/17/08,MOHK,MAPY,32,Macrocystis pyrifera
1/17/08,MOHK,MAPY,13,Macrocystis pyrifera
1/17/08,MOHK,MAPY,10,Macrocystis pyrifera
1/17/08,MOHK,MAPY,6,Macrocystis pyrifera
1/17/08,MOHK,MAPY,7,Macrocystis pyrifera
1/17/08,MOHK,MAPY,59,Macrocystis pyrifera
1/17/08,MOHK,MAPY,18,Macrocystis pyrifera
1/17/08,MOHK,MAPY,26,Macrocystis pyrifera
1/17/08,MOHK,MAPY,4,Macrocystis pyrifera
1/17/08,MOHK,MAPY,10,Macrocystis pyrifera
1/17/08,MOHK,MAPY,28,Macrocystis pyrifera
1/17/08,MOHK,MAPY,18,Macrocystis pyrifera
1/17/08,MOHK,MAPY,39,Macrocystis pyrifera
1/17/08,MOHK,MAPY,2,Macrocystis pyrifera
1/17/08,MOHK,MAPY,28,Macrocystis pyrifera
1/17/08,MOHK,MAPY,17,Macrocystis pyrifera
1/17/08,MOHK,MAPY,2,Macrocystis pyrifera
1/10/08,NAPL,MAPY,0,Macrocystis pyrifera
1/10/08,NAPL,MAPY,0,Macrocystis pyrifera
1/10/08,NAPL,MAPY,0,Macrocystis pyrifera
1/10/08,NAPL,MAPY,0,Macrocystis pyrifera
1/10/08,NAPL,MAPY,8,Macrocystis pyrifera
1/10/08,NAPL,MAPY,0,Macrocystis pyrifera
1/10/08,NAPL,MAPY,0,Macrocystis pyrifera
1/10/08,NAPL,MAPY,0,Macrocystis pyrifera
2/12/08,CARP,MAPY,0,Macrocystis pyrifera
2/12/08,CARP,MAPY,0,Macrocystis pyrifera
2/12/08,CARP,MAPY,3,Macrocystis pyrifera
2/12/08,CARP,MAPY,2,Macrocystis pyrifera
2/12/08,CARP,MAPY,1,Macrocystis pyrifera
2/12/08,CARP,MAPY,7,Macrocystis pyrifera
2/12/08,CARP,MAPY,4,Macrocystis pyrifera
2/12/08,CARP,MAPY,1,Macrocystis pyrifera
2/12/08,CARP,MAPY,2,Macrocystis pyrifera
2/12/08,CARP,MAPY,1,Macrocystis pyrifera
2/12/08,CARP,MAPY,2,Macrocystis pyrifera
2/12/08,CARP,MAPY,3,Macrocystis pyrifera
2/12/08,CARP,MAPY,4,Macrocystis pyrifera
2/12/08,CARP,MAPY,4,Macrocystis pyrifera
2/12/08,CARP,MAPY,19,Macrocystis pyrifera
2/12/08,CARP,MAPY,1,Macrocystis pyrifera
2/12/08,CARP,MAPY,1,Macrocystis pyrifera
2/12/08,CARP,MAPY,0,Macrocystis pyrifera
3/5/08,AQUE,MAPY,3,Macrocystis pyrifera
3/5/08,AQUE,MAPY,0,Macrocystis pyrifera
3/5/08,AQUE,MAPY,23,Macrocystis pyrifera
3/5/08,AQUE,MAPY,2,Macrocystis pyrifera
3/5/08,AQUE,MAPY,7,Macrocystis pyrifera
3/5/08,AQUE,MAPY,6,Macrocystis pyrifera
3/5/08,AQUE,MAPY,5,Macrocystis pyrifera
3/5/08,AQUE,MAPY,12,Macrocystis pyrifera
3/5/08,AQUE,MAPY,40,Macrocystis pyrifera
3/7/08,AQUE,MAPY,0,Macrocystis pyrifera
3/7/08,AQUE,MAPY,0,Macrocystis pyrifera
3/7/08,AQUE,MAPY,0,Macrocystis pyrifera
3/7/08,AQUE,MAPY,0,Macrocystis pyrifera
3/11/08,CARP,MAPY,0,Macrocystis pyrifera
3/11/08,CARP,MAPY,0,Macrocystis pyrifera
3/11/08,CARP,MAPY,0,Macrocystis pyrifera
3/11/08,CARP,MAPY,0,Macrocystis pyrifera
3/11/08,CARP,MAPY,0,Macrocystis pyrifera
3/11/08,CARP,MAPY,0,Macrocystis pyrifera
3/11/08,CARP,MAPY,0,Macrocystis pyrifera
3/11/08,CARP,MAPY,0,Macrocystis pyrifera
3/11/08,MOHK,MAPY,13,Macrocystis pyrifera
3/11/08,MOHK,MAPY,12,Macrocystis pyrifera
3/11/08,MOHK,MAPY,25,Macrocystis pyrifera
3/11/08,MOHK,MAPY,6,Macrocystis pyrifera
3/11/08,MOHK,MAPY,3,Macrocystis pyrifera
3/11/08,MOHK,MAPY,55,Macrocystis pyrifera
3/11/08,MOHK,MAPY,1,Macrocystis pyrifera
3/11/08,MOHK,MAPY,2,Macrocystis pyrifera
3/11/08,MOHK,MAPY,15,Macrocystis pyrifera
3/11/08,MOHK,MAPY,9,Macrocystis pyrifera
3/11/08,MOHK,MAPY,9,Macrocystis pyrifera
3/11/08,MOHK,MAPY,0,Macrocystis pyrifera
3/11/08,MOHK,MAPY,0,Macrocystis pyrifera
3/11/08,MOHK,MAPY,0,Macrocystis pyrifera
3/11/08,MOHK,MAPY,0,Macrocystis pyrifera
3/7/08,NAPL,MAPY,0,Macrocystis pyrifera
3/7/08,NAPL,MAPY,0,Macrocystis pyrifera
3/7/08,NAPL,MAPY,0,Macrocystis pyrifera
3/7/08,NAPL,MAPY,0,Macrocystis pyrifera
3/7/08,NAPL,MAPY,0,Macrocystis pyrifera
3/7/08,NAPL,MAPY,0,Macrocystis pyrifera
3/7/08,NAPL,MAPY,1,Macrocystis pyrifera
3/7/08,NAPL,MAPY,0,Macrocystis pyrifera
4/1/08,AQUE,MAPY,6,Macrocystis pyrifera
4/1/08,AQUE,MAPY,12,Macrocystis pyrifera
4/1/08,AQUE,MAPY,15,Macrocystis pyrifera
4/1/08,AQUE,MAPY,6,Macrocystis pyrifera
4/1/08,AQUE,MAPY,18,Macrocystis pyrifera
4/1/08,AQUE,MAPY,47,Macrocystis pyrifera
4/1/08,AQUE,MAPY,2,Macrocystis pyrifera
4/1/08,AQUE,MAPY,5,Macrocystis pyrifera
4/1/08,AQUE,MAPY,24,Macrocystis pyrifera
4/1/08,AQUE,MAPY,9,Macrocystis pyrifera
4/1/08,AQUE,MAPY,1,Macrocystis pyrifera
4/1/08,AQUE,MAPY,0,Macrocystis pyrifera
4/1/08,AQUE,MAPY,1,Macrocystis pyrifera
4/1/08,AQUE,MAPY,0,Macrocystis pyrifera
4/1/08,AQUE,MAPY,1,Macrocystis pyrifera
4/1/08,AQUE,MAPY,2,Macrocystis pyrifera
4/2/08,CARP,MAPY,0,Macrocystis pyrifera
4/2/08,CARP,MAPY,0,Macrocystis pyrifera
4/2/08,CARP,MAPY,0,Macrocystis pyrifera
4/2/08,CARP,MAPY,2,Macrocystis pyrifera
4/2/08,CARP,MAPY,0,Macrocystis pyrifera
4/2/08,CARP,MAPY,0,Macrocystis pyrifera
4/2/08,CARP,MAPY,0,Macrocystis pyrifera
