DATE,SITE,SP_CODE,COUNT,AREA,SCIENTIFIC_NAME
2008-01-30,AQUE,MAPY,0,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,3,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,29,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,7,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,16,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,9,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,5,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,7,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,4,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,29,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,41,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,0,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,7,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,5,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,3,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,145,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,4,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,7,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,4,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,16,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,12,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,15,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,14,20,Macrocystis pyrifera
2008-01-30,AQUE,MAPY,1,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,2,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,20,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,25,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,34,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,35,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,36,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,4,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,15,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,3,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,5,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,1,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,1,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,9,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,37,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,5,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,11,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,19,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,19,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,29,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,1,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,25,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,15,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,21,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,25,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,33,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,2,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,5,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,70,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,5,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,8,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,34,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,21,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,29,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,17,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,40,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,1,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,40,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,18,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,22,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,12,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,32,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,13,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,10,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,6,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,7,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,59,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,18,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,26,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,4,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,10,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,28,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,18,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,39,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,2,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,28,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,17,20,Macrocystis pyrifera
2008-01-17,MOHK,MAPY,2,20,Macrocystis pyrifera
2008-01-10,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-01-10,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-01-10,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-01-10,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-01-10,NAPL,MAPY,8,20,Macrocystis pyrifera
2008-01-10,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-01-10,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-01-10,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,0,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,0,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,3,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,2,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,1,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,7,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,4,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,1,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,2,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,1,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,2,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,3,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,4,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,4,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,19,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,1,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,1,20,Macrocystis pyrifera
2008-02-12,CARP,MAPY,0,20,Macrocystis pyrifera
2008-03-05,AQUE,MAPY,3,20,Macrocystis pyrifera
2008-03-05,AQUE,MAPY,0,20,Macrocystis pyrifera
2008-03-05,AQUE,MAPY,23,20,Macrocystis pyrifera
2008-03-05,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-03-05,AQUE,MAPY,7,20,Macrocystis pyrifera
2008-03-05,AQUE,MAPY,6,20,Macrocystis pyrifera
2008-03-05,AQUE,MAPY,5,20,Macrocystis pyrifera
2008-03-05,AQUE,MAPY,12,20,Macrocystis pyrifera
2008-03-05,AQUE,MAPY,40,20,Macrocystis pyrifera
2008-03-07,AQUE,MAPY,0,20,Macrocystis pyrifera
2008-03-07,AQUE,MAPY,0,20,Macrocystis pyrifera
2008-03-07,AQUE,MAPY,0,20,Macrocystis pyrifera
2008-03-07,AQUE,MAPY,0,20,Macrocystis pyrifera
2008-03-11,CARP,MAPY,0,20,Macrocystis pyrifera
2008-03-11,CARP,MAPY,0,20,Macrocystis pyrifera
2008-03-11,CARP,MAPY,0,20,Macrocystis pyrifera
2008-03-11,CARP,MAPY,0,20,Macrocystis pyrifera
2008-03-11,CARP,MAPY,0,20,Macrocystis pyrifera
2008-03-11,CARP,MAPY,0,20,Macrocystis pyrifera
2008-03-11,CARP,MAPY,0,20,Macrocystis pyrifera
2008-03-11,CARP,MAPY,0,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,13,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,12,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,25,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,6,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,3,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,55,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,1,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,2,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,15,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,9,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,9,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,0,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,0,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,0,20,Macrocystis pyrifera
2008-03-11,MOHK,MAPY,0,20,Macrocystis pyrifera
2008-03-07,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-03-07,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-03-07,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-03-07,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-03-07,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-03-07,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-03-07,NAPL,MAPY,1,20,Macrocystis pyrifera
2008-03-07,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,6,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,12,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,15,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,6,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,18,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,47,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,5,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,24,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,9,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,1,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,0,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,1,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,0,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,1,20,Macrocystis pyrifera
2008-04-01,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-04-02,CARP,MAPY,0,20,Macrocystis pyrifera
2008-04-02,CARP,MAPY,0,20,Macrocystis pyrifera
2008-04-02,CARP,MAPY,0,20,Macrocystis pyrifera
2008-04-02,CARP,MAPY,2,20,Macrocystis pyrifera
2008-04-02,CARP,MAPY,0,20,Macrocystis pyrifera
2008-04-02,CARP,MAPY,0,20,Macrocystis pyrifera
2008-04-02,CARP,MAPY,0,20,Macrocystis pyrifera
2008-04-02,CARP,MAPY,0,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,21,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,11,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,33,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,1,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,48,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,1,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,42,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,0,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,1,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,8,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,28,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,16,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,4,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,5,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,0,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,0,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,0,20,Macrocystis pyrifera
2008-04-07,MOHK,MAPY,0,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,0,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,2,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,2,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,1,20,Macrocystis pyrifera
2008-04-11,NAPL,MAPY,1,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,0,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,16,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,27,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,3,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,23,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,78,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,20,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,1,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,1,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,1,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,4,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
2008-05-28,AQUE,MAPY,2,20,Macrocystis pyrifera
