plant_id,species,hei_cm,leaf_num,dia_mm,bend_fce_g,rooting_dep_cm,root_len_cm,root_dia_5_cm,root_dia_15_cm,root_dia_25_cm,root_wt_5_g,root_wt_10_g,root_wt_15_g,root_wt_20_g,root_wt_25_g,aboveground_g,total_frontal_area_cm2
1,cottonwood,41,58,2.85,17,16,18,0.3,,,0.27,0.19,0.02,,,0.85,87.23
2,cottonwood,13.5,18,1.72,2,10,12,1.88,,,0.05,0.02,,,,0.15,18.73
3,cottonwood,26.5,39,2.5,20,18,18,0.98,0.08,,0.48,0.09,0.02,0.01,,0.52,58.4625
4,cottonwood,11.5,11,1.4,2,9,13,0.08,,,0.02,0.01,,,,0.1,12.9125
5,cottonwood,30,19,2.46,26,19,22,1,0.3,,0.17,0.01,0.01,0.01,,0.43,32.655
6,cottonwood,41,21,4.08,28,25,40,5.5,0.3,,0.63,0.43,0.05,0.05,0.04,1.28,172.89
7,cottonwood,34,17,3.88,6,20,29,1,0.3,,0.19,0.04,0.02,0.01,,0.6,42.3
8,cottonwood,22.5,45,2.6,29,14,18,1.23,0.09,,0.12,0.09,0.03,,,0.55,51.2575
9,cottonwood,42,53,5.38,45,22,31,3.4,0.06,,0.82,0.22,0.1,0.07,0.02,1.4,152.4605
10,tamarisk,51.5,,12.18,91,18,27,3.88,0.55,,1.15,0.55,0.17,0.08,,7.4,358.403
11,cottonwood,52,14,5.8,103,25,42,3.54,3.13,1.1,0.89,0.76,0.15,0.03,0.03,3.02,174.033
12,cottonwood,69,79,6.82,56,23,38,4.1,0.56,,1.02,0.59,0.5,0.14,0.02,4.08,250.386
13,tamarisk,30,,6.76,136,26,35,2.1,0.46,0.2,1.08,1.14,0.26,0.17,,5.36,432.268
14,cottonwood,51.5,61,4.32,41,25,42,6.02,0.52,,1.42,0.63,0.09,0.03,0.02,2.81,192.6025
15,tamarisk,43,,7.74,53,22,25,2.62,0.02,,0.86,0.2,0.1,0.11,0.02,4.35,346.637
16,cottonwood,33,37,3.2,22,25,30,3.6,0.2,0.2,0.28,0.19,0.03,0.07,0.01,1.08,101.9775
17,tamarisk,24,,3.24,42,20,27,3.45,0.02,,0.62,0.53,0.25,0.13,,3.92,195.6075
18,cottonwood,33.5,23,3.3,16,20,24,2.3,0.46,,0.25,0.09,0.04,0.05,,3.92,139.4325
19,tamarisk,15,,2.68,43,19,29,4.72,0.04,,0.66,0.26,0.18,0.05,,2.6,173.0885
20,cottonwood,19.5,23,2.6,22,20,25,1,0.05,,0.13,0.02,0.02,0.02,,0.36,51.5775
21,cottonwood,24,61,3.4,52,24,30,3.1,0.05,,0.21,0.09,0.02,0.01,0.01,0.8,65.04
22,tamarisk,14.5,,3.12,32,25,38,4.92,0.6,0.5,0.42,0.49,0.23,0.12,0.03,1.56,265.6715
23,tamarisk,18,,6.18,16,24,35,4.3,0.5,,0.58,0.44,0.38,0.34,0.07,3.57,464.587
24,tamarisk,22,,7.34,16,23,37,6.14,0.5,,0.66,0.45,0.19,0.2,0.01,4.89,382.483
25,cottonwood,9.5,39,3.12,48,19,34,3.5,0.8,,0.2,0.08,0.06,0.03,,0.54,128.895
26,tamarisk,18,,7.2,12,25,36,3.02,0.04,,1.04,0.32,0.31,0.26,0.12,3.47,236.1545
27,cottonwood,25.5,83,3.6,48,20,40,3.38,0.1,,0.4,0.25,0.16,0.04,,1.16,153.1655
28,tamarisk,12,,3.8,21,20,31,0.58,0.5,,0.27,0.06,0.05,0.03,,0.81,112.455
29,cottonwood,35,58,3.5,46,24,29,0.02,0.55,,0.6,0.1,0.05,0.02,0.03,1.4,155.63
30,tamarisk,9,,5.7,21,20,31,3.64,0.05,,0.31,0.12,0.05,0.04,,0.94,75.5125
31,tamarisk,20,,7.3,10,25,40,2.4,0.2,0.5,1.16,0.44,0.43,0.22,0.1,2.87,375.69
32,cottonwood,34,40,3.54,60,25,37,5.14,0.36,1.44,0.46,0.34,0.06,0.07,0.04,1.37,147.4
33,tamarisk,19,,10.9,120,20,29,7.2,0.34,,1.16,0.71,0.08,0.17,,3.27,206.76
34,cottonwood,76,140,6.64,120,26,39,4.88,0.56,0.34,1.95,0.97,0.58,0.61,0.63,8.49,680.62
35,tamarisk,36,,6.6,48,24,31,5.2,0.7,,1.97,0.57,0.26,0.47,0.2,6.51,616.4795
36,cottonwood,49.5,50,5.4,54,25,44,10.72,2.9,1.2,1.05,1.24,0.32,0.13,0.18,2.73,238.1215
37,cottonwood,75,137,8.24,180,23,38,3,0.8,,7.81,1.97,0.65,0.56,0.38,8.95,745.586
38,cottonwood,53,194,6.44,87,24,31,5.2,1.4,,0.64,0.39,0.36,0.24,0.19,4.33,312.888
39,cottonwood,48,84,5.62,34,23,36,4.48,1.56,,0.62,0.26,0.12,0.16,0.15,2.22,268.1075
40,tamarisk,45,,8.96,40,23,32,5.08,0.05,,0.83,0.48,0.22,0.39,0.1,7.81,586.4745
41,tamarisk,33,,11.6,10,22,32,8.9,1.12,,1.25,1.02,0.34,0.26,0.05,5.96,553.7265
42,cottonwood,54,105,5.6,80,24,33,2.9,0.5,,0.79,0.57,0.19,0.16,0.37,3.81,384.0675
43,cottonwood,77,174,1.1,300,23,50,6,0.8,,3.69,1.45,0.6,0.7,0.36,11.65,762.3905
44,cottonwood,55,160,8.8,240,25,47,7.8,0.7,,2.44,1.13,0.73,0.37,0.4,7.82,533.0955
45,cottonwood,46,101,5.45,40,22,29,3,0.9,,1.06,0.47,0.52,0.48,0.04,3.2,419.0535
46,cottonwood,64,132,7.2,100,24,39,6.2,3.3,,1.13,0.98,1.1,0.82,0.39,7.14,564.627
47,cottonwood,50,109,6.9,54,25,35,3.9,0.8,0.95,0.55,0.16,0.04,0.08,0.28,3.28,277.663
48,cottonwood,52,92,5.3,56,24,34,6.5,0.9,,0.85,0.37,0.24,0.23,0.22,4.26,422.521
49,cottonwood,38,84,3.35,18,24,33,1.4,0.6,,0.24,0.05,0.11,0.11,0.09,1.38,231.818
50,tamarisk,29,,8.1,50,20,30,2,0.4,,2.55,0.47,0.19,0.1,,3.26,332.3935
51,tamarisk,42,,7.1,20,25,54,8.4,5.2,2,3.15,1.91,1.18,0.66,0.65,7.34,906.8825
52,tamarisk,34,,7.48,11,22,46,6.6,1.72,1.78,0.61,0.48,0.58,1.02,0.2,6.65,546.7905
53,tamarisk,46,,8.4,30,25,54,10.45,0.6,1.2,3.95,4.71,1.49,1.27,1.96,14.4,1085.3
54,tamarisk,29,,7.3,14,24,38,6.9,0.7,,1.35,0.81,0.39,0.41,0.33,8.88,753.413
55,tamarisk,24,,8.7,30,25,39,7,0.1,1.9,1.39,1.1,0.51,0.75,0.57,10.62,747.3175
56,tamarisk,33,,12.3,24,25,45,4,0.1,1.4,0.84,0.38,0.33,0.37,0.13,8.95,703.308
57,tamarisk,42,,11.6,60,23,38,10.8,0.8,,2.99,1.68,1.03,0.8,0.33,18.2,968.3015
58,tamarisk,41,,5.3,50,20,31,3.9,0.6,,0.94,0.26,0.02,0.01,,3.28,169.615
59,cottonwood,44,43,3.35,15,23,30,3,0.4,,0.51,0.13,0.04,0.03,0.02,1.15,143.38
60,cottonwood,60,201,7.9,64,24,40,4.1,1,,1.06,0.35,0.45,0.61,0.44,5.73,649.3895
61,cottonwood,56,190,8,34,22,40,5.5,0.9,,0.94,0.71,0.45,0.48,0.25,4.41,529.175
62,cottonwood,40,87,4.2,60,24,35,2,0.8,,0.15,0.08,0.09,0.14,0.09,2.02,224.331
63,cottonwood,62,195,10.4,260,25,58,12.5,1.74,3.2,2.49,0.67,0.53,0.85,0.89,11.14,916.4225
64,cottonwood,21,65,6.4,40,22,33,2.5,1.1,,0.35,0.11,0.11,0.21,0.11,1.38,265.423
65,cottonwood,56,94,5.4,42,24,40,5.2,1.1,,0.67,0.38,0.23,0.28,0.23,3.18,376.369
66,cottonwood,29,75,4.6,50,21,38,1.2,0.7,,0.35,0.16,0.11,0.23,0.08,2,285.1785
67,cottonwood,63,148,5.8,60,25,49,5.2,1.2,1.8,0.81,0.64,0.18,0.25,0.39,4.24,535.57
68,cottonwood,78,122,8.8,95,25,38,5.1,1,2.2,2.23,0.67,0.56,0.48,0.58,9.21,759.402
69,cottonwood,97,304,11.6,220,25,45,6,1.5,2.4,2.36,1.2,0.9,0.77,0.47,16.6,934.271
70,cottonwood,66,256,12.3,300,25,54,6.6,0.8,1.5,3.7,2.7,2.23,1.39,0.71,15.83,1061.492
71,tamarisk,95,,11.9,360,25,50,10.95,1.2,2.2,5.9,3.09,0.92,0.77,0.81,30.95,1344.373
72,tamarisk,130,,20.7,320,25,55,10.1,1.9,0.9,17.39,17.07,6.1,4.03,1.71,74.6,1535.9505
73,tamarisk,55,,9.98,34,25,52,7.75,1.2,0.7,2.88,1.5,0.67,1.02,1.18,16.98,1244.1355
74,cottonwood,19,19,4.75,50,23,26,3.9,0.5,,0.2,0.05,0.02,0.01,0.01,0.55,39.265
75,cottonwood,32,78,6.7,46,24,42,3,0.6,,0.65,0.4,0.22,0.21,0.05,2.97,448.322
76,tamarisk,62,,11.4,160,25,45,6.5,1,1.2,3.27,1.77,0.72,0.73,0.34,29.49,1224.8665
77,tamarisk,46,,13.3,140,25,35,6.4,1,1.1,4.49,2.72,1.42,1.41,2.05,24.34,1231.5965
78,tamarisk,40,,8.2,30,24,43,5.9,1,,1.36,0.63,0.68,0.73,0.64,10.87,930.429
79,tamarisk,43,,10.4,14,24,89,2.8,0.6,,2.14,0.79,0.92,0.98,0.62,10.73,913.66
80,tamarisk,33.5,,9.1,18,25,54,8.45,1.2,1.8,1.67,1.69,2.05,2.3,2.53,12.4,913.585
81,tamarisk,27,,10.28,740,21,42,9.4,1.8,,2.47,2.03,0.99,1.09,0.33,10.97,809.0455
82,tamarisk,12.5,,9.36,30,24,33,7.24,1.7,,1.47,0.5,0.05,0.09,0.16,2.77,233.8535
83,tamarisk,53,,11.7,140,20,30,10.3,4.2,,1.67,1.36,0.78,0.36,,7.92,187.5625
84,tamarisk,56,,6.8,90,25,38,4.7,2.7,0.8,0.57,0.32,0.24,0.15,0.05,4.02,69.0225
85,tamarisk,61,,4.7,54,20,26,4.9,1.02,,0.78,0.14,0.05,0.01,,3.65,103.305
86,tamarisk,92,,8.6,82,25,48,6.4,5.2,0.8,0.7,0.59,0.45,0.48,0.63,6.17,220.9325
87,tamarisk,27,,2.8,17,15,18,2.2,0.6,,0.12,0.06,0.03,,,0.49,36.94
88,tamarisk,24,,3.3,18,20,26,2.1,0.7,,0.15,0.07,0.06,0.01,,0.49,34.9275
89,tamarisk,38,,9.5,51,10,15,0.9,,,0.69,0.05,,,,1.49,46.8525
90,tamarisk,44,,5.4,19,25,39,6.2,3.9,0.9,0.57,0.42,0.3,0.2,0.63,5.02,144.0525
