run,species,density,location_m,status_def,time_elapse_min,hei_cm,leaf_num,dia_mm,root_length_cm,above_g,below_g,sed_diff_cm
6,cottonwood,sparse,16.15,dl,46,9.5,29,1.98,28.5,0.47,0.29,6.058123
6,cottonwood,sparse,16.15,dl,46,13,41,2.08,36,0.75,0.41,6.058123
6,cottonwood,sparse,16.15,dl,43,15,17,2.7,9.5,0.24,0.08,15.395558
6,cottonwood,sparse,16.4,dl,40,22,70,3,13,0.68,0.35,5.907812
6,cottonwood,sparse,16.4,dl,40,17,43,2.7,15,0.25,0.4,5.907812
6,cottonwood,sparse,16.4,dl,48,30.5,35,2.5,27,0.67,0.33,5.290617
6,cottonwood,sparse,16.4,dl,94,37,50,3.7,37,1.51,0.76,15.135781
6,cottonwood,sparse,16.8,dl,117,34,56,3.88,47,1.72,0.86,17.280759
6,cottonwood,sparse,16.8,dl,60,22,11,2,17,0.4,0.2,13.32737
6,cottonwood,sparse,16.8,dl,63,18,10,1.6,25.5,0.27,0.2,12.105848
6,cottonwood,sparse,16.8,dl,50,11,3,1.1,13,0.12,0.23,7.757677
6,cottonwood,sparse,17.05,dl,55,19.5,35,2.94,17.5,0.63,0.54,5.454269
6,cottonwood,sparse,17.05,dl,76,15.5,16,1.94,5,0.21,0.07,7.171195
6,cottonwood,sparse,17.05,dl,,19.5,30,2.35,26,0.55,0.43,16.97398
6,cottonwood,sparse,17.35,dl,52,23,98,3.46,35,1.84,1.62,6.485987
6,cottonwood,sparse,17.35,rm,,25,89,4.06,31,1.64,0.94,16.335707
6,cottonwood,sparse,17.35,dl,87,9.5,8,2.25,7.5,0.11,0.13,8.796805
6,cottonwood,sparse,17.7,dl,80,14.5,52,2.7,45,1.32,0.55,14.703545
6,cottonwood,sparse,17.7,dl,135,25,24,2.2,18,0.44,0.31,12.240883
6,cottonwood,sparse,17.7,dl,112,13,9,2.1,21,0.2,0.22,11.818895
6,cottonwood,sparse,18,dl,47,12,22,1.92,23,0.27,0.2,6.159494
6,cottonwood,sparse,18,dl,40,21,14,4.48,10.5,0.76,0.16,3.101741
6,cottonwood,sparse,18,rm,,20,37,3.3,28,0.67,0.43,16.69284
6,cottonwood,sparse,18.3,rm,,36.5,78,2.38,43,0.73,0.45,13.432328
6,cottonwood,sparse,18.3,rm,,25,66,4.14,37,1.96,0.87,13.432328
6,cottonwood,sparse,18.3,rm,,27,33,2.02,31,0.55,0.31,13.432328
6,cottonwood,sparse,18.3,dl,,14,4,2.7,9.5,0.22,0.1,13.432328
6,cottonwood,sparse,18.65,dl,44,9.5,33,2.2,16.5,0.29,0.23,10.151118
6,cottonwood,sparse,18.65,dl,87,11,31,2,16,0.26,0.17,12.022707
6,cottonwood,sparse,18.65,rm,,28.5,84,3.95,38,2.41,1.39,14.554202
6,cottonwood,sparse,18.65,rm,,26,63,2.56,41,1.31,0.72,14.554202
6,cottonwood,sparse,18.95,dl,60,33,65,6.38,50,2.6,2.06,9.420906
6,cottonwood,sparse,18.95,rm,,21.5,59,2.32,34,0.68,0.32,16.483085
6,cottonwood,sparse,18.95,rm,,19,31,2.26,25,0.44,0.17,16.483085
6,cottonwood,sparse,18.95,rm,,18.5,25,1.92,22,0.36,0.09,16.483085
6,cottonwood,sparse,19.3,br,,25,74,4,33,1.79,0.72,12.344556
6,cottonwood,sparse,19.55,rm,,23,72,5.2,37,1.21,0.37,12.982533
6,cottonwood,sparse,19.55,rm,,20,85,3.2,39,1.57,0.97,12.982533
6,cottonwood,sparse,19.55,dl,108,17,34,2.5,26,0.96,0.73,9.326367
6,cottonwood,sparse,19.55,dl,43,14,5,3.6,10.5,0.22,0.11,8.010338
6,cottonwood,sparse,19.85,dl,106,16.5,31,2.14,30.5,0.65,0.31,14.76849
6,cottonwood,sparse,19.85,dl,105,35,44,3.15,40.5,1.58,0.86,14.76849
6,cottonwood,sparse,20.15,rm,,27.5,49,2.2,30,0.79,0.39,17.908376
6,cottonwood,sparse,20.15,dl,,25,20,2.31,11,0.46,0.25,17.908376
6,cottonwood,sparse,20.15,dl,107,27,74,3.88,35,1.72,0.87,12.929774
6,cottonwood,sparse,20.15,dl,107,19,114,3.78,42,1.99,1.1,12.929774
6,cottonwood,sparse,20.45,dl,71,28.5,61,3.4,30,1.1,0.43,15.762759
6,cottonwood,sparse,20.45,dl,115,15.5,17,2.22,16,0.31,0.1,11.802033
6,cottonwood,sparse,20.45,dl,,19,33,2.24,12,0.44,0.19,17.415706
6,cottonwood,sparse,20.45,rm,,20,27,2.52,30,0.62,0.34,17.415706
6,cottonwood,sparse,20.75,dl,72,30,39,3,40.5,0.74,0.33,16.001731
6,cottonwood,sparse,20.75,dl,76,25,17,2.3,10,0.34,0.06,6.242426
6,cottonwood,sparse,20.75,br,,25,107,4.62,34,2.65,1.13,16.001731
6,cottonwood,sparse,20.75,br,,23,19,7.17,27,1.78,1.44,16.001731
6,cottonwood,sparse,21.15,dl,73,20,62,2.56,25.5,0.88,0.36,22.098162
6,cottonwood,sparse,21.15,br,,21,43,1.8,34,0.56,0.24,22.098162
6,cottonwood,sparse,21.15,br,,29,61,4.7,44,1.8,1.2,22.098162
6,cottonwood,sparse,21.4,dl,76,16.5,0,2.2,15,0.16,0.07,18.180516
6,cottonwood,sparse,21.4,rm,,21,63,3.01,24,0.89,0.24,19.474638
6,cottonwood,sparse,21.4,br,,25,50,2.1,30,0.51,0.4,19.474638
6,cottonwood,sparse,21.7,dl,78,20,27,1.9,31,0.32,0.5,19.981467
6,cottonwood,sparse,21.7,dl,78,24,37,2.5,44,0.67,0.33,19.981467
6,cottonwood,sparse,21.7,br,,23,83,2.38,33,0.88,0.42,19.981467
6,cottonwood,sparse,22,dl,83,25,16,2.7,28,0.54,0.29,13.51169
6,cottonwood,sparse,22,dl,134,8,31,1,15,,,7.073381
7,cottonwood,sparse,16.15,dl,33,53,48,6.65,27,2.78,1.08,14.214857
7,cottonwood,sparse,16.15,dl,33,42,17,3.6,17,1.09,0.38,14.214857
7,cottonwood,sparse,16.15,dl,90,61,113,6.9,36,4.19,2.31,19.050602
7,cottonwood,sparse,16.15,dl,88,42,112,6.7,28,2.87,1.19,18.430093
7,cottonwood,sparse,16.4,dl,53,69,127,11.95,58,9.54,3.65,17.052145
7,cottonwood,sparse,16.4,dl,53,58,109,5.8,39,3.1,1.48,17.052145
7,cottonwood,sparse,16.4,dl,95,49,55,4.95,31,2.26,1.26,18.38162
7,cottonwood,sparse,16.4,dl,92,56,125,5.35,47,2.85,2.96,18.506846
7,cottonwood,sparse,16.8,dl,56,47,93,4.6,32,2.1,0.92,11.394267
7,cottonwood,sparse,16.8,dl,56,71,145,10.6,50,9.38,3.42,11.394267
7,cottonwood,sparse,16.8,dl,95,56,66,4.1,33,2.4,1,15.076193
7,cottonwood,sparse,16.8,dl,95,61,103,8.1,45,5.23,3.09,15.076193
7,cottonwood,sparse,17.05,dl,66,51,48,4.45,32,2.94,1.72,18.857219
