plantid,plant_vertical_location,frontal_area
1,-325,0
2,-325,0
3,-325,0
4,-325,0
5,-325,0
6,-325,0
7,-325,0
8,-325,0
9,-325,0
10,-325,0
11,-325,0
12,-325,0
13,-325,0
14,-325,0
15,-325,0
16,-325,0
17,-325,0
18,-325,0
19,-325,0
20,-325,0
21,-325,0
22,-325,0
23,-325,0
24,-325,0
25,-325,0
26,-325,0
27,-325,0
28,-325,0
29,-325,0
30,-325,0
31,-325,0
32,-325,0
33,-325,0
34,-325,0
35,-325,0
36,-325,0
37,-325,0
38,-325,0
39,-325,0
40,-325,0
41,-325,0
42,-325,0
43,-325,0.0025
44,-325,0
45,-325,0
46,-325,0
47,-325,0
48,-325,0
49,-325,0
50,-325,0
51,-325,0
52,-325,0
53,-325,0
54,-325,0
55,-325,0
56,-325,0
57,-325,0
58,-325,0
59,-325,0
60,-325,0
61,-325,0
62,-325,0
63,-325,0
64,-325,0
65,-325,0
66,-325,0
67,-325,0
68,-325,0
69,-325,0
70,-325,0
71,-325,0
72,-325,0
73,-325,0
74,-325,0
75,-325,0
76,-325,0
77,-325,0
78,-325,0
79,-325,0
80,-325,0
81,-325,0
82,-325,0
83,-325,0
84,-325,0
85,-325,0
86,-325,0
87,-325,0
88,-325,0
89,-325,0
90,-325,0
1,-315,0
2,-315,0
3,-315,0
4,-315,0
5,-315,0
6,-315,0
7,-315,0
8,-315,0
9,-315,0
10,-315,0
11,-315,0
12,-315,0
13,-315,0
14,-315,0
15,-315,0
16,-315,0
17,-315,0
18,-315,0
19,-315,0
20,-315,0
21,-315,0
22,-315,0
23,-315,0
24,-315,0
25,-315,0
26,-315,0
27,-315,0
28,-315,0
29,-315,0
30,-315,0
31,-315,0
32,-315,0
33,-315,0
34,-315,0
35,-315,0
36,-315,0
37,-315,0
38,-315,0
39,-315,0
40,-315,0
41,-315,0
42,-315,0
43,-315,0.3225
44,-315,0
45,-315,0
46,-315,0
47,-315,0
48,-315,0
49,-315,0
50,-315,0
51,-315,0
52,-315,0
53,-315,0
54,-315,0
55,-315,0
56,-315,0
57,-315,0
58,-315,0
59,-315,0
60,-315,0
61,-315,0
62,-315,0
63,-315,0
64,-315,0
65,-315,0
66,-315,0
67,-315,0
68,-315,0
69,-315,0
70,-315,0
71,-315,0
72,-315,0
73,-315,0
74,-315,0
75,-315,0
76,-315,0
77,-315,0
78,-315,0
79,-315,0
80,-315,0
81,-315,0
82,-315,0
83,-315,0
84,-315,0
85,-315,0
86,-315,0
87,-315,0
88,-315,0
89,-315,0
90,-315,0
1,-305,0
2,-305,0
3,-305,0
4,-305,0
5,-305,0
6,-305,0
7,-305,0
8,-305,0
9,-305,0
10,-305,0
11,-305,0
12,-305,0
13,-305,0
14,-305,0
15,-305,0
16,-305,0
17,-305,0
18,-305,0
19,-305,0
20,-305,0
21,-305,0
22,-305,0
23,-305,0
24,-305,0
25,-305,0
26,-305,0
27,-305,0
28,-305,0
29,-305,0
30,-305,0
31,-305,0
32,-305,0
33,-305,0
34,-305,0
35,-305,0
36,-305,0
37,-305,0
38,-305,0
39,-305,0
40,-305,0
41,-305,0
42,-305,0
43,-305,0.3775
44,-305,0
45,-305,0
46,-305,0
47,-305,0
48,-305,0
49,-305,0
50,-305,0
51,-305,0
52,-305,0
53,-305,0
54,-305,0
55,-305,0
56,-305,0
57,-305,0
